2.285	1.561	1.248	1.765	2.287	1.86	1.443	1.716	1.784	2.295	1.833	1.566	1.35	1.206	1.835	1.648	2.057	1.711	2.008	1.765
1.338	2.829	1.262	1.74	1.475	1.759	1.718	1.275	1.791	1.691	1.752	0.456	0.497	1.528	2.796	2.047	1.817	0.877	1.21	2.534
1.389	1.77	0.129	1.545	1.907	1.656	1.092	1.39	1.604	1.608	2.054	0.636	0.529	1.53	1.596	1.274	2.032	0.887	1.006	1.928
1.13	1.137	0.826	0.793	0.888	0.867	0.764	0.97	0.908	1.135	1.497	1.072	1.459	1.485	1.407	1.335	1.108	0.898	1.192	1.464
1.497	1.257	1.04	1.464	1.513	1.295	1.192	1.414	1.364	1.544	1.791	1.331	1.325	1.164	1.882	1.51	1.633	1.452	1.707	1.703
1.671	2.976	1.058	2.006	1.551	1.776	2.218	1.901	2.245	1.56	2.803	1.027	0.385	1.53	2.163	1.529	1.746	1.758	1.313	2.653
2.008	2.251	0.628	1.867	0.991	1.782	1.475	1.545	1.633	2.138	1.885	1.686	1.128	0.546	2.132	1.46	1.082	2.389	0.918	2.259
1.225	3.102	0.94	1.785	3.119	1.74	2.148	1.875	1.782	1.51	2.968	0.625	0.889	3.471	3.782	2.494	3.207	0.973	2.68	3.375
2.299	1.982	1.755	2.048	1.494	2.012	1.743	2.031	2.054	2.274	2.071	1.802	0.848	0.719	2.046	1.672	1.41	2.113	1.425	2.199
1.907	2.026	2.079	2.057	3.932	2.488	3.298	5.466	3.285	2.156	3.977	1.349	1.837	3.036	2.494	3.016	3.794	1.042	2.529	5.344
1.104	1.295	0.9	1.401	0.736	0.672	1.073	1.26	1.103	1.124	1.331	1.264	1.452	1.334	1.321	1.692	1.028	1.379	1.097	1.351
2.161	3.386	1.083	2.534	1.181	2.265	2.619	2.016	2.357	2.556	2.92	1.826	0.956	0.987	2.847	2.046	1.308	2.496	0.641	3.268
1.64	2.501	0.691	1.949	0.835	1.286	2.113	2.166	2.248	1.888	2.497	0.788	1.391	1.303	2.153	1.798	1.052	1.538	0.902	2.713
1.953	2.521	1.021	1.645	0.964	1.938	1.262	1.438	1.598	2.137	2.14	1.569	1.101	0.744	2.339	1.65	1.13	2.038	1.251	2.583
1.582	2.03	0.218	1.781	1.899	1.855	1.168	1.057	1.788	1.79	2.385	0.732	0.253	1.427	2.153	2.205	1.797	0.793	0.944	2.432
1.771	2.958	1.522	1.944	2.596	1.857	1.776	1.676	2.033	2.107	3.729	1.48	0.867	2.621	2.971	2.687	2.34	1.404	1.753	2.976
1.443	2.017	1.215	1.534	1.121	1.271	1.288	1.489	1.541	1.451	2.203	1.782	1.305	0.954	1.821	1.533	1.537	1.573	1.763	2.195
1.665	1.944	1.272	1.741	1.235	1.211	1.296	1.479	1.579	1.694	2.006	1.552	1.21	0.873	1.943	1.84	1.584	1.713	1.641	2.003
